label,model_input,model_output,segmented_output,factuality,deberta_finetuned,roberta_finetuned,bart_fintuned,llama_foundation,llama_finetuned
good_credit,Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a negative checking account balance, a loan duration longer than 50% of all cases in the bank, a loan amount higher than 50% of all cases in the bank, and a present employment duration shorter than 1 year. Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have a high number of people being liable to provide maintenance for. These factors indicate a higher risk of default and suggest that the customer may not be managing their finances effectively.","The customer has several red flags, including a negative checking account balance; a loan duration longer than 50% of all cases in the bank; a loan amount higher than 50% of all cases in the bank;  and a present employment duration shorter than 1 year;  Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have a high number of people being liable to provide maintenance for",,,"Additionally, the customer's installment rate is lower than 50% of all cases in the bank, and they have a high number of people being liable to provide maintenance for",,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a high checking account balance, a long-term loan assignment, a high loan amount, a high saving account balance, long-term present employment, a low installment rate, no other debtors, a car as property, a young age, no other installment plans, own housing, a skilled job, and is a foreign worker, indicating a stable financial situation and responsible credit behavior.",The customer has a high checking account balance; a long-term loan assignment; a high loan amount; a high saving account balance; long-term present employment;  a low installment rate;  no other debtors; a car as property;  a young age;  no other installment plans;  own housing; a skilled job; and is a foreign worker,,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a good creditworthiness due to having a high balance in their checking account, a loan duration shorter than 50% of all cases in the bank, a loan amount lower than 50% of all cases in the bank, a low balance in their saving account, a stable employment history between 1-4 years, a high installment rate in percentage of disposable income, no other debtors, owning a car or other property, being older than 50% of the bank's average age, no other installment plans, owning their own housing, having a job as a skilled employee or resident, having at least one person to provide maintenance, and being registered for a telephone plan under their name.",The customer has a good creditworthiness due to having a high balance in their checking account;  a loan duration shorter than 50% of all cases in the bank; a loan amount lower than 50% of all cases in the bank; a low balance in their saving account; a stable employment history between 1-4 years; a high installment rate in percentage of disposable income; no other debtors;  owning a car or other property;  being older than 50% of the bank's average age; no other installment plans; owning their own housing; having a job as a skilled employee or resident; having at least one person to provide maintenance; and being registered for a telephone plan under their name.,,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a negative checking account balance, a loan amount higher than 50% of all cases in the bank, and a telephone not registered under their name, which may indicate a lack of financial discipline and potential identity issues. Additionally, the customer's loan duration is shorter than 50% of all cases in the bank, which could suggest a higher risk of default. The customer's age is also older than 50% of all cases in the bank, which may indicate a longer credit history, but the combination of other negative attributes outweighs this factor.","The customer has several red flags, including a negative checking account balance; a loan amount higher than 50% of all cases in the bank; and a telephone not registered under their name, which may indicate a lack of financial discipline and potential identity issues;  Additionally, the customer's loan duration is shorter than 50% of all cases in the bank, which could suggest a higher risk of default; The customer's age is also older than 50% of all cases in the bank, which may indicate a longer credit history, but the combination of other negative attributes outweighs this factor.",,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,"Bad credit

The customer has several red flags, including a negative checking account balance, a short loan duration, a low loan amount, a low savings account balance, a short employment tenure, a low installment rate as a percentage of disposable income, and a non-registered telephone. These attributes suggest that the customer may be experiencing financial difficulties and may not be managing their finances effectively, leading to a conclusion of bad credit.","The customer has several red flags, including a negative checking account balance;  a short loan duration; a low loan amount;  a low savings account balance;  a short employment tenure;  a low installment rate as a percentage of disposable income; and a non-registered telephone. ",,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a low balance in their checking account, a short loan duration, a low loan amount, a low installment rate as a percentage of disposable income, and a lack of other debtors. Additionally, the customer's employment status is short, and they have a low balance in their saving account. The customer's age is also older than 50% of the average bank customer, which may indicate a higher risk of financial instability. Furthermore, the customer's housing situation is unique, as they own their own home, which may suggest a lower risk of financial instability. However, the customer's foreign worker status and lack of registered telephone under their name raise concerns about their financial stability and ability to manage debt.","The customer has several red flags, including a low balance in their checking account; a short loan duration; a low loan amount; a low installment rate as a percentage of disposable income; and a lack of other debtors;  Additionally, the customer's employment status is short, and they have a low balance in their saving account;  The customer's age is also older than 50% of the average bank customer, which may indicate a higher risk of financial instability;  Furthermore, the customer's housing situation is unique, as they own their own home, which may suggest a lower risk of financial instability;  However, the customer's foreign worker status and lack of registered telephone under their name raise concerns about their financial stability and ability to manage debt",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,"Good credit

The customer has a good creditworthiness due to meeting most of the criteria, including a high balance in their checking account, a short loan duration, a low loan amount, a high balance in their saving account, stable employment, a low installment rate, no other debtors, a car as their primary property, a young age, no other installment plans, owning their housing, a skilled job, and no foreign worker status.","The customer has a good creditworthiness due to meeting most of the criteria, including a high balance in their checking account; a short loan duration; a low loan amount; a high balance in their saving account; stable employment;  a low installment rate; no other debtors; a car as their primary property; a young age; no other installment plans; owning their housing; a skilled job; and no foreign worker status",,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has a negative checking account balance, which indicates a lack of financial discipline and potential overspending. Additionally, the loan duration is shorter than 50% of all cases in the bank, and the loan amount is lower than 50% of all cases, suggesting that the customer may not be taking advantage of available credit. The low saving account balance and lower installment rate in percentage of disposable income also raise concerns about the customer's financial stability. Furthermore, the customer's age is older than 50% of all cases in the bank, and they have a history of being a foreign worker, which may indicate a higher risk of financial instability. Overall, these attributes suggest that the customer may not be managing their finances effectively, leading to a conclusion of bad credit.","The customer has a negative checking account balance, which indicates a lack of financial discipline and potential overspending;  Additionally, the loan duration is shorter than 50% of all cases in the bank, and the loan amount is lower than 50% of all cases, suggesting that the customer may not be taking advantage of available credit; The low saving account balance and lower installment rate in percentage of disposable income also raise concerns about the customer's financial stability; Furthermore, the customer's age is older than 50% of all cases in the bank, and they have a history of being a foreign worker, which may indicate a higher risk of financial instability",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a good creditworthiness due to having a high balance in their checking account, a long-term salary assignment, a short loan duration, a low loan amount, a long-term employment, a high installment rate, no other debtors, owning a property, being older than 50% of the bank's average age, no other installment plans, owning a house, having a skilled job, having at least one person to provide maintenance, and being a foreign worker.",The customer has a good creditworthiness due to having a high balance in their checking account; a long-term salary assignment; a short loan duration;  a low loan amount; a long-term employment; a high installment rate; no other debtors; owning a property; being older than 50% of the bank's average age; no other installment plans; owning a house; having a skilled job;  having at least one person to provide maintenance;  and being a foreign worker,,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a high checking account balance, a long-term loan with a relatively short duration, a low loan amount, a high saving account balance, stable employment, a low installment rate, no other debtors, a property, and is a skilled employee or resident, meeting most of the criteria that indicate a stable financial status.",The customer has a high checking account balance; a long-term loan with a relatively short duration; a low loan amount; a high saving account balance; stable employment; a low installment rate; no other debtors; a property; and is a skilled employee or resident,,,a long-term loan with a relatively short duration,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a low balance in their checking account, a short loan duration, a high loan amount, a low balance in their saving account, and a low installment rate as a percentage of disposable income. Additionally, the customer's employment status is relatively short-term, and they have a high-risk profile due to being a foreign worker and having a large household. These factors suggest that the customer may be over-extending themselves financially and may struggle to meet their obligations.","The customer has several red flags, including a low balance in their checking account; a short loan duration; a high loan amount; a low balance in their saving account; and a low installment rate as a percentage of disposable income; Additionally, the customer's employment status is relatively short-term, and they have a high-risk profile due to being a foreign worker and having a large household",,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a low balance in their checking account, a shorter loan duration, a lower loan amount, and a shorter employment duration, which may indicate financial instability. Additionally, the customer's installment rate is lower than the average, and they have other installment plans with the bank, suggesting a high reliance on credit. However, the customer's high savings account balance and ownership of real estate may indicate some level of financial stability.","The customer has several red flags, including a low balance in their checking account; a shorter loan duration; a lower loan amount; and a shorter employment duration; Additionally, the customer's installment rate is lower than the average, and they have other installment plans with the bank, suggesting a high reliance on credit; However, the customer's high savings account balance and ownership of real estate may indicate some level of financial stability.",,,,,,
good_credit,Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans are stores; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a negative checking account balance, a loan amount higher than 50% of all cases in the bank, a low saving account balance, a relatively short employment tenure, a lower-than-average installment rate as a percentage of disposable income, and a lack of registered telephone under their name. Additionally, the customer's job status as a skilled employee or resident, and the presence of foreign workers, do not outweigh the negative attributes.","The customer has several red flags, including a negative checking account balance; a loan amount higher than 50% of all cases in the bank; a low saving account balance; a relatively short employment tenure; a lower-than-average installment rate as a percentage of disposable income;  and a lack of registered telephone under their name; Additionally, the customer's job status as a skilled employee or resident, and the presence of foreign workers, do not outweigh the negative attributes",,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer has several red flags, including a low balance in their checking account, a short loan duration, a high loan amount, a low balance in their saving account, and an installment rate that is lower than 50% of all cases in the bank. Additionally, the customer's employment status is relatively short-term, and they have a car as their primary property, which may indicate a lack of financial stability. The customer's age is also relatively young, and they have no other debtors or installment plans, which could suggest a lack of financial responsibility.","The customer has several red flags, including a low balance in their checking account; a short loan duration; a high loan amount; a low balance in their saving account; and an installment rate that is lower than 50% of all cases in the bank;  Additionally, the customer's employment status is relatively short-term, and they have a car as their primary property, which may indicate a lack of financial stability; The customer's age is also relatively young; and they have no other debtors or installment plans",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Good credit

The customer has a good creditworthiness due to a combination of factors, including a high balance in their checking account, a long-term salary assignment, a short loan duration, a low loan amount, a high balance in their saving account, long-term employment, a high installment rate, no other debtors, unknown or no property, age above the average, no other installment plans, renting housing, a job as a skilled employee or resident, sufficient family members to provide maintenance, and being a foreign worker.","The customer has a good creditworthiness due to a combination of factors, including a high balance in their checking account; a long-term salary assignment; a short loan duration; a low loan amount; a high balance in their saving account; long-term employment; a high installment rate; no other debtors; unknown or no property; age above the average; no other installment plans; renting housing; a job as a skilled employee or resident; sufficient family members to provide maintenance; and being a foreign worker",,,renting housing,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer's creditworthiness is assessed as 'bad credit' due to the presence of several red flags, including a low balance in the saving account, present employment shorter than 1 year, a high installment rate in percentage of disposable income, and a foreign worker status, which may indicate financial instability and higher risk of default.","The customer's creditworthiness is assessed as 'bad credit' due to the presence of several red flags, including a low balance in the saving account; present employment shorter than 1 year; a high installment rate in percentage of disposable income;  and a foreign worker status",,,,,,
