label,model_input,model_output,segmented_output,factuality,deberta_finetuned,roberta_finetuned,bart_fintuned,gemma_foundation,gemma_finetuned
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high loan amount and duration, coupled with a foreign worker status, suggest a higher risk profile. Additionally, the high balance in checking and savings accounts, while not inherently bad, could indicate potential financial instability.  The combination of these factors points towards a higher likelihood of defaulting on loans. 
","The high loan amount and duration; coupled with a foreign worker status, suggest a higher risk profile; Additionally, the high balance in checking and savings accounts, while not inherently bad, could indicate potential financial instability",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high installment rate exceeding 50% of disposable income, coupled with a foreign worker status, suggests potential financial instability. Additionally, the low balance in the saving account and the high loan amount compared to the average in the bank point towards a potentially risky financial profile.  
","The high installment rate exceeding 50% of disposable income; coupled with a foreign worker status, suggests potential financial instability; Additionally, the low balance in the saving account and the high loan amount compared to the average in the bank point towards a potentially risky financial profile","Additionally, the low balance in the saving account and the high loan amount compared to the average in the bank point towards a potentially risky financial profile","Additionally, the low balance in the saving account and the high loan amount compared to the average in the bank point towards a potentially risky financial profile","Additionally, the low balance in the saving account and the high loan amount compared to the average in the bank point towards a potentially risky financial profile",,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness: a negative checking account balance, a loan duration shorter than the average, a loan amount exceeding the average, and a history of being a foreign worker. These factors suggest potential financial instability and a higher risk of defaulting on loans. 
",a negative checking account balance; a loan duration shorter than the average; a loan amount exceeding the average; and a history of being a foreign worker,,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,"Bad credit

The customer exhibits several red flags for poor creditworthiness: a negative checking account balance, a short employment history, a low saving account balance, and a high installment rate compared to their disposable income. Additionally, the lack of a registered phone number and the fact that they are not a homeowner further contribute to a negative assessment. 
","a negative checking account balance; a short employment history; a low saving account balance; and a high installment rate compared to their disposable income; Additionally, the lack of a registered phone number and the fact that they are not a homeowner further contribute to a negative assessment",and a high installment rate compared to their disposable income,and a high installment rate compared to their disposable income,and a high installment rate compared to their disposable income,and a high installment rate compared to their disposable income,"Additionally, the lack of a registered phone number and the fact that they are not a homeowner further contribute to a negative assessment","Additionally, the lack of a registered phone number and the fact that they are not a homeowner further contribute to a negative assessment"
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness: low balance in both checking and savings accounts, short employment history, and a foreign worker status.  Additionally, the low loan amount and short loan duration suggest a lack of financial stability and a history of borrowing.  The combination of these factors points towards a higher risk of default. 
","low balance in both checking and savings accounts; short employment history; and a foreign worker status; Additionally, the low loan amount and short loan duration suggest a lack of financial stability and a history of borrowing",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is no.,"Good credit

This customer exhibits strong creditworthiness based on the provided attributes.  They have a high checking account balance, a shorter loan duration than average, a lower loan amount than average, a high savings account balance, a stable employment history, a low installment rate, no other outstanding debts, own housing, a skilled job, and a responsible financial profile.  
",They have a high checking account balance; a shorter loan duration than average; a lower loan amount than average; a high savings account balance; a stable employment history; a low installment rate; no other outstanding debts; own housing; a skilled job; and a responsible financial profile,,,,,,
good_credit,Checking account is negative balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for bad credit: a negative checking account balance, a short loan duration, a low loan amount, a low saving account balance, and a foreign worker status. These factors suggest potential financial instability and a higher risk of defaulting on loans. Additionally, the low disposable income and the presence of other installment plans (banks) further contribute to the negative assessment. 
","a negative checking account balance; a short loan duration; a low loan amount; a low saving account balance; and a foreign worker status; Additionally, the low disposable income and the presence of other installment plans (banks) further contribute to the negative assessment","Additionally, the low disposable income and the presence of other installment plans (banks) further contribute to the negative assessment","Additionally, the low disposable income and the presence of other installment plans (banks) further contribute to the negative assessment","Additionally, the low disposable income and the presence of other installment plans (banks) further contribute to the negative assessment","Additionally, the low disposable income and the presence of other installment plans (banks) further contribute to the negative assessment",,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high installment rate compared to disposable income, low savings, and foreign worker status all point towards a higher risk of default. Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability. 
","The high installment rate compared to disposable income; low savings; and foreign worker status all point towards a higher risk of default; Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability","Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability","Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability","Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability","Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability","Additionally, the lack of a registered phone number and the presence of other installment plans further suggest potential financial instability",
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The foreign worker status and the lack of a registered phone number raise concerns about the customer's reliability and ability to manage financial obligations. Additionally, the high balance in the checking account and the lower loan amount suggest a potential for financial instability. The combination of these factors, along with the foreign worker status, points towards a higher risk of default. 
","The foreign worker status and the lack of a registered phone number raise concerns about the customer's reliability and ability to manage financial obligations; Additionally, the high balance in the checking account and the lower loan amount suggest a potential for financial instability; The combination of these factors, along with the foreign worker status, points towards a higher risk of default",,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for bad credit: low balance in both checking and savings accounts, a shorter loan duration than the average, a higher loan amount than the average, and a foreign worker status. These factors suggest potential financial instability and a higher risk of defaulting on loans.  
",low balance in both checking and savings accounts; a shorter loan duration than the average; a higher loan amount than the average; and a foreign worker status,,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is real estate; Age is older than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags that indicate poor creditworthiness: low checking account balance, short employment history, and a high reliance on installment plans.  Additionally, the foreign worker status and the lack of a stable income source raise concerns.  The combination of these factors suggests a higher risk of defaulting on loans. 
","low checking account balance; short employment history; and a high reliance on installment plans; Additionally, the foreign worker status and the lack of a stable income source raise concerns",,,,and a high reliance on installment plans,,
good_credit,Checking account is negative balance; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans are stores; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for bad credit: a negative checking account balance, a long loan duration exceeding the majority of cases, a high loan amount exceeding the majority of cases, a low balance in their saving account, a relatively short employment history, and a high proportion of installment plans tied to stores.  Additionally, the foreign worker status and lack of registered phone number further contribute to a negative assessment. 
","a negative checking account balance; a long loan duration exceeding the majority of cases; a high loan amount exceeding the majority of cases; a low balance in their saving account; a relatively short employment history; and a high proportion of installment plans tied to stores; Additionally, the foreign worker status and lack of registered phone number further contribute to a negative assessment",,,,,,
good_credit,Checking account is low balance; Loan duration is shorter than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is car or other; Age is younger than 50% of all cases in the bank; Other installment plans is none; Housing is own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for bad credit: low balance in both checking and savings accounts, a shorter loan duration than the average, a higher loan amount than the average, and a foreign worker status. These factors suggest potential financial instability and a higher risk of defaulting on loans. 
",low balance in both checking and savings accounts; a shorter loan duration than the average; a higher loan amount than the average; and a foreign worker status,,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is high balance; Present employment is longer than 4 years; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is older than 50% of all cases in the bank; Other installment plans is none; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is not registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high installment rate compared to disposable income, foreign worker status, and lack of property ownership suggest potential financial instability and a higher risk of default.  Additionally, the loan duration and amount are within the lower range, which could indicate a lack of financial history or a higher likelihood of default. 
","The high installment rate compared to disposable income; foreign worker status; and lack of property ownership suggest potential financial instability and a higher risk of default; Additionally, the loan duration and amount are within the lower range, which could indicate a lack of financial history or a higher likelihood of default",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is shorter than 50% of all cases in the bank; Loan amount is lower than 50% of all cases in the bank; Saving account is low balance; Present employment is shorter than 1 year; Installment rate in percentage of disposable income is higher than 50% of all cases in the bank; The status of other debtors is none; Property is building society savings agreement or life insurance; Age is younger than 50% of all cases in the bank; Other installment plans are banks; Housing is own; Job is not a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

The customer exhibits several red flags for bad creditworthiness:  

* **Short employment:**  Present employment is less than 1 year, indicating a lack of financial stability.
* **High installment rate:** The installment rate is higher than 50% of all cases, suggesting a high debt burden relative to income.
* **Low savings:** A low balance in the saving account suggests limited financial resources.
* **Foreign worker:**  Being a foreign worker raises concerns about potential employment instability and financial history. 
* **Other installment plans:**  Having other installment plans (banks) suggests a history of borrowing and potential difficulty managing debt. 
","Short employment, Present employment is less than 1 year, indicating a lack of financial stability; High installment rate, The installment rate is higher than 50% of all cases, suggesting a high debt burden relative to income; Low savings, A low balance in the saving account suggests limited financial resources; Foreign worker, Being a foreign worker raises concerns about potential employment instability and financial history; Other installment plans, Having other installment plans (banks) suggests a history of borrowing and potential difficulty managing debt",,,,,,
good_credit,Checking account is high balance or salary assignments for at least 1 year; Loan duration is longer than 50% of all cases in the bank; Loan amount is higher than 50% of all cases in the bank; Saving account is low balance; Present employment is between 1 year to 4 years; Installment rate in percentage of disposable income is lower than 50% of all cases in the bank; The status of other debtors is none; Property is unknown or none; Age is younger than 50% of all cases in the bank; Other installment plans are banks; Housing is not own; Job is a skilled employee or a resident; Number of people being liable to provide maintenance for is equal to or more than 1; Telephone is registered under the customer's name; Foreign worker is yes.,"Bad credit

Based on the provided attributes, the customer exhibits several red flags that indicate poor creditworthiness.  The high loan amount and duration, coupled with a low saving account balance and a foreign worker status, suggest a high risk of default. The young age and lack of property ownership further contribute to the negative assessment. 
","The high loan amount and duration; coupled with a low saving account balance and a foreign worker status, suggest a high risk of default; The young age and lack of property ownership further contribute to the negative assessment",,,,,,
